,id,text
0,1,"['mangoes', 'restaurant', 'key', 'west', 'is', 'located', 'at', '700', 'duval', 'street', 'the', 'intersection', 'of', 'great', 'food', 'and', 'good', 'times', 'they', 'proudly', 'serve', 'a', 'fun', 'and', 'delicious', 'selection', 'of', 'floribbean', 'and', 'american', 'foods', 'the', 'original', 'developers', 'https://t', 'co/hghwftze92']"
1,1,"['might', 'fuck', 'around', 'might', 'make', 'a', 'css', 'grid', 'gallery', 'for', 'fun', 'and', 'to', 'avoid', 'my', 'responsabilities']"
2,1,"['im', 'not', 'sure', 'who', 'enjoys', 'dress', 'up', 'days', 'more', 'the', 'students', 'or', 'the', 'staff', 'so', 'fun', 'thanks', 'everyone', 'for', 'participating', 'and', 'keep', 'recycling', 'those', 'markers', 'trailblazeon', 'https://t', 'co/gcrah5s6vm']"
3,1,"['rt', '@_violin_tim:', 'was', 'having', 'fun', 'on', 'this', 'one', 'please', 'me', 'by', '@iamcardib', 'and', '@brunomars', 'want', 'to', 'hear', 'more', 'follow', 'me', 'on', 'insta', '@violin_tim', 'h']"
4,1,"['thanks', 'to', 'my', 'sassy', 'cute', 'friend', 'kim', 'taylor', 'bost', 'i', 'have', 'had', 'my', 'first', 'fix', 'it', 'was', 'fun', 'and', 'easy', 'just', 'my', 'style', 'thank', 'you', 'kim', 'passing', 'on', 'the', 'great', 'tip', 'for', 'my', 'style', 'challenged', 'friends', 'https://t', 'co/ae4enfg5yx']"
5,1,"['rt', '@linnzzz____:', 'so', 'my', 'sister', 'had', 'prom', 'on', 'saturday', 'and', 'didnt', 'want', 'to', 'wear', 'the', 'dress', 'she', 'wore', 'because', 'she', 'thought', 'she', 'looked', 'fat', 'when', 'she']"
6,1,"['you', 'are', 'not', 'a', 'real', 'gamer', 'until', 'you', 'too', 'have', 'fun', 'damn', 'predictive', 'text', 'youre', 'on', 'point', 'https://t', 'co/inskloxlpa']"
7,1,"['we', 'are', 'making', 'supporting', 'your', 'local', 'community', 'easy', 'effective', 'and', 'fun', 'follow', 'us', 'to', 'be', 'part', 'of', 'our', 'launch', 'coming', 'soon', 'to', 'fayettevillenc', '@cityoffaync', 'citylnkd', '@fayobserver', '@faync_chamber', '@myfaytoday']"
8,1,"['rt', '@madam_president:', 'did', 'you', 'know', 'that', '@ewarren', 'loves', 'dolly', 'parton', 'or', 'that', '@sengillbrand', 'has', 'run', 'two', 'marathons', 'how', 'about', 'that', '@amyklobuch']"
9,1,"['@tehfawpy', 'ye', 'i', 'feel', 'like', 'it', 'would', 'be', 'more', 'fun', 'to', 'actually', 'get', 'stuff', 'for', 'myself']"
10,1,"['check', 'out', 'this', 'fun', 'social', 'app', 'encore', 'https://t', 'co/laxunxansc', 'https://t', 'co/hrvmzs5l7j']"
11,1,"['rt', '@kamuicosplay:', 'had', 'a', 'super', 'fun', 'panel', 'about', 'foam', 'armor', 'this', 'weekend', 'and', 'attaching', 'seams', 'to', 'be', 'always', 'an', 'issue', 'so', 'heres', 'a', 'video', 'it', 'work']"
12,1,"['ah', 'fun', 'its', 'gonna', 'be', 'one', 'of', 'those', 'days', 'okay', 'cool']"
13,1,"['@kfield82', '@gamblerthoughts', 'the', 'problem', 'is', 'when', 'the', 'fun', 'stops', 'your', 'addicted', 'that', 'is', 'why', 'i', 'have', 'always', 'hated', 'that', 'phrase']"
14,1,"['if', ""you're"", 'trying', 'to', 'keep', 'up', 'with', 'college', 'baseball', 'mlb', 'baseball', 'milb', 'baseball', 'and', 'the', 'draft', 'at', 'the', 'same', 'time', 'this', 'time', 'of', 'the', 'year', 'is', 'both', 'awesome', 'and', 'overwhelming', 'so', 'much', 'to', 'watch', 'so', 'much', 'to', 'keep', 'track', 'of', 'so', 'much', 'fun', 'https://t', 'co/bkwshkscue']"
15,1,"['rt', '@duderd_x:', 'time', 'to', 'achieve', 'i', 'had', 'the', 'most', 'fun', 'recording', 'and', 'editing', 'all', 'day', 'yesterday', 'that', ""i've"", 'had', 'in', 'a', 'very', 'long', 'time', ""there's"", 'no', 'd']"
16,1,"['rt', '@pugnoodless:', 'honestly', 'i', 'just', 'want', 'to', 'draw', 'her', 'in', 'mug', 'xd', 'here', 'my', 'ko-fi', 'link', 'just', 'for', 'fun', 'https://t', 'co/fmaxu7q12d', 'https://t', 'co/pimt08w9']"
17,1,"['pizza', 'class', 'by', 'the', 'sea', 'was', 'quiet', 'but', 'still', 'incredibly', 'fun', 'and', 'delicious', 'with', 'vincenzo', 'marra']"
18,1,"['happy', 'freshfriday2k19', '@starpopfever', 'it', 'was', 'soooooo', 'fun', 'to', 'be', 'able', 'to', 'draw', 'one', 'of', 'your', 'characters', ""they're"", 'all', 'so', 'good', '0', 'and', 'thank', 'you', '@arlir', 'for', 'organizing', 'freshfriday', 'every', 'year', 'i', 'always', 'look', 'forward', 'to', 'it', 'https://t', 'co/zvfkbkau6n']"
19,1,"['rt', '@kasopeowoaje:', 'lovee', 'this', 'hoodie', '[yesterday', 'was', 'fun]', 'https://t', 'co/gjlnwdfjpc']"
20,1,"['[', 'preview', ']', '05', '04', '19', '|', 'yunmin', 'no', 'busking', ""''fun"", '&amp', ""pan''"", 'cr', 'every_min_it', 'newkidd', 'yunmin', 'https://t', 'co/upe8hpkynm']"
21,1,"['its', 'about', 'to', 'get', 'really', 'freaking', 'fun', 'and', 'intense', 'as', 'i', 'get', 'older', 'ill', 'be', '50', 'here', 'in', 'a', 'couple', 'months', 'i', 'found', 'that', 'i', 'need', 'a', 'sport', 'where', 'i', 'move', 'more', 'well', 'doing', 'triathlon', 'seems', 'to', 'be', 'the', 'answer', 'signed', 'up', 'https://t', 'co/sptlbylhvr']"
22,1,"['@omz_music', '@realdonaldtrump', 'the', 'dinner', 'will', 'be', 'more', 'fun', 'without', 'him', 'hes', 'a', 'https://t', 'co/xvmsap3fwz']"
23,1,"['@tannerfox', 'pretty', 'fun', 'not', 'going', 'to', 'lie']"
24,1,"['rt', '@jae_day6:', 'ver', '2', 'thank', 'you', 'for', 'the', 'opportunity', 'so', 'much', 'fun', 'making', 'these', 'https://t', 'co/cjhfrbk9i0']"
25,1,"['@honeybbangtan', ':(((', 'it', 'does', 'get', 'stressful', 'but', 'once', 'the', 'mv', 'and', 'album', 'drops', ""it's"", 'a', 'lot', 'lighter', 'as', 'we', 'actually', 'reach', 'our', 'goals', 'and', 'all', ':(', ""it's"", 'a', 'fun', 'time', ""it's"", 'just', 'the', 'buildup', 'gets', 'exhausting', ':(((', ""i'm"", 'glad', ""you're"", 'okay', 'though']"
26,1,"['enjoy', 'walking', 'at', 'rhodes', 'park', 'johannesburg', 'southafrica', 'life', 'nature', 'travel', 'animal', 'holiday', 'earth_beatiful', 'amazing', 'heaven', 'color', 'photography', 'planet', 'earth', 'fun', 'cool', 'view', 'africa', 'style', 'view', 'happy', 'beauty', 'beautiful', 'born2travelit', 'discoverctwc', 'https://t', 'co/ccwugdgtc2']"
