,id,text
0,1,"['rt', '@chavisthill:', 'omg', 'this', 'cat', 'is', 'an', 'actor', 'look', 'at', 'the', 'difference', 'in', 'their', 'eyes', 'why', 'does', 'this', 'make', 'me', 'so', 'happy', 'https://t', 'co/9vrd1dw']"
1,1,"['rt', '@doggintrump:', 'on', 'todays', 'episode', 'of', 'i', 'dont', 'give', 'a', 'fuck', 'trump', 'is', 'upset', 'that', 'congress', 'is', 'going', 'after', 'his', 'taxes', '&amp', 'plans', 'to', 'fight', 'their', 'rel']"
2,1,"['rt', '@msgladysknight:', 'soundcheck', 'fun', 'happy', 'friday', 'https://t', 'co/ysraxnpauh']"
3,1,"['rt', '@_hublette:', 'happy', 'friday', '@aoc', 'we', 'all', 'know', 'a', 'staffer', 'picked', 'up', 'that', 'ikea', 'furniture', 'for', 'you', 'as', 'a', 'prop', 'https://t', 'co/err7zveqo7']"
4,1,"['i', 'am', 'fueled', 'by', 'wholesome', 'art', 'of', 'yuyuko', 'and', 'youmu', 'they', ""don't"", 'have', 'to', 'be', 'doing', 'anything', 'specific', 'they', 'just', 'both', 'have', 'to', 'be', 'happy']"
5,1,"['@mjawandz11', 'happy', 'birthday', 'hope', ""you're"", 'doing', 'fantastical', 'daughter']"
6,1,"['@therealjonny_5', '@nhlbruins', '@tdgarden', 'hope', 'the', 'surgery', 'goes', 'well', 'also', 'happy', 'early', 'birthday']"
7,1,"['happy', 'friday', 'https://t', 'co/gos4aigwj0']"
8,1,"['@zak_bagans', 'happy', 'birthday']"
9,1,"['rt', '@juliancamarena:', 'happy', 'friday']"
10,1,"['rt', '@bovb51:', '@manishp24604101', '@quinnqueens', '@thshaher', '@lidstonepeter', '@stradagangelica', '@aliciagarciaga6', '@yelarvel', '@quinnqueens_2', '@litebrite123']"
11,1,"['rt', '@mmooregough_7:', 'pardon', 'me', 'but', 'when', 'did', 'girls', 'start', 'dissing', 'on', 'other', 'girls', 'body', 'this', 'is', 'truly', 'disgusting', 'i', 'am', 'extremely', 'happy', 'with', 'my', 'bo']"
12,1,"['@kreespykim', 'happy', 'sweldo']"
13,1,"['we', 'are', 'over', 'the', 'moon', 'that', 'its', 'head', 'coach', 'ian', 'chois', 'birthday', 'today', 'have', 'a', 'happy', 'happy', 'birthday', 'moonboss', 'fuvb', 'gorams', 'https://t', 'co/rqii68iomv']"
14,1,"['happy', 'birthday', 'lil', 'brother', 'couldnt', 'ask', 'for', 'a', 'better', 'brother']"
15,1,"['@ninjaeee', '@hermosahanna', 'ha', 'hahahhaa', 'happy', 'birthday', 'to', 'u']"
16,1,"['there', 'is', 'only', 'one', 'person', 'who', 'could', 'ever', 'make', 'you', 'happy', 'and', 'that', 'person', 'is', 'you', 'https://t', 'co/8cssohiewd']"
17,1,"['rt', '@toeianimation:', 'happy', 'birthday', 'to', 'the', 'legendary', 'akira', 'toriyama', 'your', 'creations', 'inspired', 'millions', 'we', ""can't"", 'wait', 'to', 'see', 'what', 'you', 'do', 'next']"
18,1,"['happy', 'birthday', 'to', 'the', 'queen', 'of', 'wooooo', 'charlotte', 'flair']"
19,1,"['rt', '@mmooregough_7:', 'pardon', 'me', 'but', 'when', 'did', 'girls', 'start', 'dissing', 'on', 'other', 'girls', 'body', 'this', 'is', 'truly', 'disgusting', 'i', 'am', 'extremely', 'happy', 'with', 'my', 'bo']"
